source,slug,normalized_key,proposed_domain,domain_reason,multifile,relpath,winner,tier
community,x-twitter-growth,x-twitter-growth,social-media,rule:community-path,yes,social-media/community/x-twitter-growth,WIN,通用
community,video-content-strategist,video-content-strategist,video-webinar-marketing,rule:community-path,yes,video-webinar-marketing/community/video-content-strategist,WIN,通用
community,webinar-marketing,webinar-marketing,video-webinar-marketing,rule:community-path,yes,video-webinar-marketing/community/webinar-marketing,WIN,通用
community,youtube-full,youtube-full,video-webinar-marketing,rule:community-path,yes,video-webinar-marketing/community/youtube-full,WIN,通用
codex,attack-chain-orchestrator,attack-chain-orchestrator,workflow-orchestration,kw:orchestrat,no,attack-chain-orchestrator,WIN,通用
codex,autoredteam-orchestrator,autoredteam-orchestrator,workflow-orchestration,kw:orchestrat,no,autoredteam-orchestrator,WIN,通用
codex,deep-thinking,deep-thinking,workflow-orchestration,exact,no,deep-thinking,WIN,通用
codex,dev,dev,workflow-orchestration,exact,yes,dev,WIN,通用
codex,mcp-builder,mcp-builder,workflow-orchestration,exact,no,mcp-builder,WIN,通用
codex,memory,memory,workflow-orchestration,exact,no,memory,WIN,通用
codex,orchestration,orchestration,workflow-orchestration,exact,no,orchestration,WIN,通用
codex,skill-creator,skill-creator,workflow-orchestration,exact,no,skill-creator,WIN,通用
codex,skill-router,coff0xc-skill-router,workflow-orchestration,exact,yes,coff0xc-skill-router,WIN,通用
codex,spec,spec,workflow-orchestration,exact,no,spec,WIN,通用
codex,spec-check,spec-check,workflow-orchestration,exact,no,spec-check,WIN,通用
codex,spec-do,spec-do,workflow-orchestration,exact,no,spec-do,WIN,通用
ours,local-workflow,local-workflow,workflow-orchestration,rule:ours-path,yes,workflow-orchestration/ours/local-workflow,WIN,通用
ours,project-inception-docs,project-inception-docs,workflow-orchestration,rule:ours-path,yes,workflow-orchestration/ours/project-inception-docs,WIN,通用
ours,project-workflow,project-workflow,workflow-orchestration,rule:ours-path,yes,workflow-orchestration/ours/project-workflow,WIN,通用
