source,slug,normalized_key,proposed_domain,domain_reason,multifile,relpath,winner,tier
ours,environment-config,environment-config,engineering-core,rule:ours-path,no,engineering-core/ours/environment-config,WIN,通用
ours,error-handling-patterns,error-handling-patterns,engineering-core,rule:ours-path,no,engineering-core/ours/error-handling-patterns,WIN,通用
ours,feature-flags,feature-flags,engineering-core,rule:ours-path,no,engineering-core/ours/feature-flags,WIN,通用
ours,graceful-shutdown,graceful-shutdown,engineering-core,rule:ours-path,no,engineering-core/ours/graceful-shutdown,WIN,通用
ours,http-caching,http-caching,engineering-core,rule:ours-path,no,engineering-core/ours/http-caching,WIN,通用
ours,idempotency-design,idempotency-design,engineering-core,rule:ours-path,no,engineering-core/ours/idempotency-design,WIN,通用
ours,memory-leaks,memory-leaks,engineering-core,rule:ours-path,no,engineering-core/ours/memory-leaks,WIN,通用
ours,migration-zero-downtime,migration-zero-downtime,engineering-core,rule:ours-path,no,engineering-core/ours/migration-zero-downtime,WIN,通用
ours,monorepo,monorepo,engineering-core,rule:ours-path,no,engineering-core/ours/monorepo,WIN,通用
ours,pagination,pagination,engineering-core,rule:ours-path,no,engineering-core/ours/pagination,WIN,通用
ours,rate-limiting-algorithms,rate-limiting-algorithms,engineering-core,rule:ours-path,no,engineering-core/ours/rate-limiting-algorithms,WIN,通用
ours,regex-patterns,regex-patterns,engineering-core,rule:ours-path,no,engineering-core/ours/regex-patterns,WIN,通用
ours,string-encoding,string-encoding,engineering-core,rule:ours-path,no,engineering-core/ours/string-encoding,WIN,通用
ours,structured-logging,structured-logging,engineering-core,rule:ours-path,no,engineering-core/ours/structured-logging,WIN,通用
ours,typescript-advanced,typescript-advanced,engineering-core,rule:ours-path,no,engineering-core/ours/typescript-advanced,WIN,通用
community,dossier,dossier,entity-research,rule:community-path,yes,entity-research/community/dossier,WIN,通用
community,pulse,pulse,entity-research,rule:community-path,yes,entity-research/community/pulse,WIN,通用
community,board-deck-builder,board-deck-builder,executive-strategy,rule:community-path,yes,executive-strategy/community/board-deck-builder,WIN,通用
community,decision-logger,decision-logger,executive-strategy,rule:community-path,yes,executive-strategy/community/decision-logger,WIN,通用
community,scenario-war-room,scenario-war-room,executive-strategy,rule:community-path,yes,executive-strategy/community/scenario-war-room,WIN,通用
community,strategic-alignment,strategic-alignment,executive-strategy,rule:community-path,yes,executive-strategy/community/strategic-alignment,WIN,通用
community,financial-analyst,financial-analyst,finance,rule:community-path,yes,finance/community/financial-analyst,WIN,通用
community,saas-metrics-coach,saas-metrics-coach,finance,rule:community-path,yes,finance/community/saas-metrics-coach,WIN,通用
codex,accessibility,accessibility,frontend-ui,kw:accessibility,no,accessibility,WIN,通用
codex,angular-dev,angular,frontend-ui,kw:angular,no,angular-dev,WIN,通用
codex,chatgpt-apps,chatgpt-apps,frontend-ui,kw:chatgpt-apps,yes,chatgpt-apps,WIN,半通用
codex,figma,figma,frontend-ui,kw:figma,yes,figma,WIN,半通用
codex,figma-code-connect-components,figma-code-connect-components,frontend-ui,kw:figma,yes,figma-code-connect-components,WIN,半通用
codex,figma-create-design-system-rules,figma-create-design-system-rules,frontend-ui,kw:figma,yes,figma-create-design-system-rules,WIN,半通用
codex,figma-create-new-file,figma-create-new-file,frontend-ui,kw:figma,yes,figma-create-new-file,WIN,半通用
codex,figma-generate-design,figma-generate-design,frontend-ui,kw:figma,yes,figma-generate-design,WIN,半通用
codex,figma-generate-library,figma-generate-library,frontend-ui,kw:figma,yes,figma-generate-library,WIN,半通用
codex,figma-implement-design,figma-implement-design,frontend-ui,kw:figma,yes,figma-implement-design,WIN,半通用
codex,figma-use,figma-use,frontend-ui,kw:figma,yes,figma-use,WIN,半通用
codex,frontend-dev,frontend,frontend-ui,kw:frontend,no,frontend-dev,WIN,通用
codex,graphics-rendering,graphics-rendering,frontend-ui,exact,no,graphics-rendering,WIN,通用
